row_id,contribution,method,surface,status,reviewer_bucket,accuracy,target_accuracy,best_control_accuracy,matched_minus_target,matched_minus_best_control,mean_payload_bytes,valid_rate,ci95_low_vs_target,ci95_low_vs_comparator,p50_latency_ms,evidence_complete,missing_evidence,pass_reason,pruning_reason,comparator,note
qwen35_0_8b_seed31,model-emitted source packet,Qwen3.5-0.8B,n160 seed31,pass,positive_needs_more_evidence,1,0.25,0.25,0.75,0.75,2,1,,,10997.9,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.750; beats best destructive/control by 0.750; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,,n=160; exact_id_parity=True
qwen35_2b_seed29,model-emitted source packet,Qwen3.5-2B,n160 seed29,pass,positive_needs_more_evidence,1,0.25,0.25625,0.75,0.74375,2,1,,,13878.2,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.750; beats best destructive/control by 0.744; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,,n=160; exact_id_parity=True
qwen35_4b_seed29,model-emitted source packet,Qwen3.5-4B,n64 seed29,pass,positive_needs_more_evidence,1,0.25,0.25,0.75,0.75,2,1,,,27188.2,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.750; beats best destructive/control by 0.750; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,,n=64; exact_id_parity=True
gemma4_e2b_seed29,model-emitted source packet,Gemma 4 E2B,n64 seed29,pass,positive_needs_more_evidence,1,0.25,0.25,0.75,0.75,2,1,,,2178.51,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.750; beats best destructive/control by 0.750; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,,n=64; exact_id_parity=True
granite33_2b_seed29,model-emitted source packet,Granite 3.3 2B,n160 seed29,pass,positive_needs_more_evidence,0.63125,0.25,0.25625,0.38125,0.375,1.075,0.5375,,,2815.51,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.381; beats best destructive/control by 0.375; valid rate 0.537; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,,n=160; exact_id_parity=True
granite33_2b_seed31,model-emitted source packet,Granite 3.3 2B,n160 seed31,pass,positive_needs_more_evidence,0.63125,0.25,0.25,0.38125,0.38125,1.075,0.5375,,,3690.74,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.381; beats best destructive/control by 0.381; valid rate 0.537; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,,n=160; exact_id_parity=True
granite33_2b_raw_no_trace,model-emitted source packet,Granite raw-log/no-trace,n160 seed31,fail,failed_or_pruned,0.25,0.25,0.25,0,0,0,0,,,2856.92,True,,,does not beat target (0.000); insufficient matched-control delta (0.000); valid rate below 0.95 (0.000),,n=160; exact_id_parity=True
target_decoder_core_n64,target model decoder ablation,Qwen3 target decoder,core n64 CPU,pass,positive_needs_more_evidence,0.65625,0.25,0.25,0.40625,0.40625,2,1,,,2181.99,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.406; beats best destructive/control by 0.406; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,,n=64; generated_tokens=13.0
target_decoder_holdout_n64,target model decoder ablation,Qwen3 target decoder,holdout n64 CPU,pass,positive_needs_more_evidence,0.71875,0.25,0.265625,0.46875,0.453125,2,1,,,2236.99,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.469; beats best destructive/control by 0.453; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,,n=64; generated_tokens=13.0
target_decoder_core_n16_progress_subset,target model decoder ablation,Qwen3 target decoder,core n16 CPU progress subset,pass,positive_needs_more_evidence,0.6875,0.25,0.25,0.4375,0.4375,2,1,,,4190.55,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.438; beats best destructive/control by 0.438; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,,n=16; generated_tokens=13.0
target_decoder_holdout_n16_progress_subset,target model decoder ablation,Qwen3 target decoder,holdout n16 CPU progress subset,pass,positive_needs_more_evidence,0.75,0.25,0.25,0.5,0.5,2,1,,,4059.46,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.500; beats best destructive/control by 0.500; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,,n=16; generated_tokens=13.0
target_decoder_core_n16_all_controls,target model decoder ablation,Qwen3 target decoder,core n16 CPU all controls,pass,positive_needs_more_evidence,0.6875,0.25,0.25,0.4375,0.4375,2,1,,,2064.01,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.438; beats best destructive/control by 0.438; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,,n=16; generated_tokens=13.0
target_decoder_holdout_n16_all_controls,target model decoder ablation,Qwen3 target decoder,holdout n16 CPU all controls,fail,failed_or_pruned,0.75,0.25,0.3125,0.5,0.4375,2,1,,,2151.83,True,,,source artifact marks row fail/near-miss,,n=16; generated_tokens=13.0
target_decoder_core_n32_short_decode_fail,target model decoder ablation,Qwen3 target decoder,core n32 CPU all controls short decode diagnostic,fail,failed_or_pruned,0,0,0,0,0,2,0,,,1689.95,True,,,does not beat target (0.000); insufficient matched-control delta (0.000); valid rate below 0.95 (0.000),,n=32; generated_tokens=8.0
target_decoder_core_n32_all_controls,target model decoder ablation,Qwen3 target decoder,core n32 CPU all controls,pass,positive_needs_more_evidence,0.6875,0.25,0.25,0.4375,0.4375,2,1,,,2117.03,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.438; beats best destructive/control by 0.438; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,,n=32; generated_tokens=13.0
target_decoder_holdout_n32_all_controls,target model decoder ablation,Qwen3 target decoder,holdout n32 CPU all controls,pass,positive_needs_more_evidence,0.75,0.25,0.28125,0.5,0.46875,2,1,,,2123.86,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.500; beats best destructive/control by 0.469; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,,n=32; generated_tokens=13.0
endpoint_proxy_core_n8_diagparse,Mac endpoint-proxy byte/TTFT frontier,Qwen3-0.6B packet vs text/log relay,core seed29 n8 CPU diag-parse,pass,positive_needs_more_evidence,0.75,0.25,0.25,0.5,0.5,2,1,,,1412.6,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.500; beats best destructive/control by 0.500; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,matched-byte text / query-aware text / structured relay / full log,n=8; prompt_style=canonical; packet_minus_target=0.500; packet_strict=0.750; best_source_control=0.250; query_payload_compression=7.0x; full_log_payload_compression=183.2x; full_log_ttft_delta=181.1ms; full_log_e2e_delta=-38.9ms; best_verbose_relay=1.000
endpoint_proxy_holdout_n8_diagparse,Mac endpoint-proxy byte/TTFT frontier,Qwen3-0.6B packet vs text/log relay,holdout seed30 n8 CPU diag-parse,pass,positive_needs_more_evidence,0.75,0.25,0.25,0.5,0.5,2,1,,,1434.94,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.500; beats best destructive/control by 0.500; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,matched-byte text / query-aware text / structured relay / full log,n=8; prompt_style=canonical; packet_minus_target=0.500; packet_strict=0.750; best_source_control=0.250; query_payload_compression=7.0x; full_log_payload_compression=186.8x; full_log_ttft_delta=279.5ms; full_log_e2e_delta=5.9ms; best_verbose_relay=1.000
endpoint_proxy_core_n16_diagparse,Mac endpoint-proxy byte/TTFT frontier,Qwen3-0.6B packet vs text/log relay,core seed29 n16 CPU diag-parse,pass,positive_needs_more_evidence,0.6875,0.25,0.25,0.4375,0.4375,2,1,,,2057.43,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.438; beats best destructive/control by 0.438; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,matched-byte text / query-aware text / structured relay / full log,n=16; prompt_style=canonical; packet_minus_target=0.438; packet_strict=0.688; best_source_control=0.250; query_payload_compression=7.0x; full_log_payload_compression=183.2x; full_log_ttft_delta=165.4ms; full_log_e2e_delta=-636.3ms; best_verbose_relay=1.000
endpoint_proxy_holdout_n16_diagparse,Mac endpoint-proxy byte/TTFT frontier,Qwen3-0.6B packet vs text/log relay,holdout seed30 n16 CPU diag-parse,pass,positive_needs_more_evidence,0.6875,0.25,0.25,0.4375,0.4375,2,1,,,1989.76,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.438; beats best destructive/control by 0.438; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,matched-byte text / query-aware text / structured relay / full log,n=16; prompt_style=canonical; packet_minus_target=0.438; packet_strict=0.688; best_source_control=0.250; query_payload_compression=7.0x; full_log_payload_compression=186.8x; full_log_ttft_delta=190.7ms; full_log_e2e_delta=-623.0ms; best_verbose_relay=1.000
endpoint_proxy_core_n16_terse_fail,Mac endpoint-proxy byte/TTFT frontier,Qwen3-0.6B packet vs text/log relay,core seed29 n16 CPU terse prompt stress,fail,failed_or_pruned,0.25,0.25,0.25,0,0,2,1,,,2898.26,True,,,does not beat target (0.000); insufficient matched-control delta (0.000),matched-byte text / query-aware text / structured relay / full log,n=16; prompt_style=terse; packet_minus_target=0.000; packet_strict=0.250; best_source_control=0.250; query_payload_compression=7.0x; full_log_payload_compression=183.2x; full_log_ttft_delta=283.4ms; full_log_e2e_delta=-1551.2ms; best_verbose_relay=0.688
endpoint_proxy_core_n16_audit,Mac endpoint-proxy byte/TTFT frontier,Qwen3-0.6B packet vs text/log relay,core seed29 n16 CPU audit prompt,pass,positive_needs_more_evidence,0.75,0.25,0.25,0.5,0.5,2,1,,,775.269,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.500; beats best destructive/control by 0.500; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,matched-byte text / query-aware text / structured relay / full log,n=16; prompt_style=audit; packet_minus_target=0.500; packet_strict=0.750; best_source_control=0.250; query_payload_compression=7.0x; full_log_payload_compression=183.2x; full_log_ttft_delta=182.1ms; full_log_e2e_delta=209.7ms; best_verbose_relay=0.812
endpoint_proxy_holdout_n16_audit,Mac endpoint-proxy byte/TTFT frontier,Qwen3-0.6B packet vs text/log relay,holdout seed30 n16 CPU audit prompt,pass,positive_needs_more_evidence,0.875,0.3125,0.3125,0.5625,0.5625,2,1,,,761.642,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.562; beats best destructive/control by 0.562; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,matched-byte text / query-aware text / structured relay / full log,n=16; prompt_style=audit; packet_minus_target=0.562; packet_strict=0.875; best_source_control=0.312; query_payload_compression=7.0x; full_log_payload_compression=186.8x; full_log_ttft_delta=150.2ms; full_log_e2e_delta=310.4ms; best_verbose_relay=0.875
endpoint_proxy_core_n32_audit,Mac endpoint-proxy byte/TTFT frontier,Qwen3-0.6B packet vs text/log relay,core seed29 n32 CPU audit prompt,pass,positive_needs_more_evidence,0.71875,0.25,0.28125,0.46875,0.4375,2,1,,,815.538,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.469; beats best destructive/control by 0.438; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,matched-byte text / query-aware text / structured relay / full log,n=32; prompt_style=audit; packet_minus_target=0.469; packet_strict=0.719; best_source_control=0.281; query_payload_compression=7.0x; full_log_payload_compression=183.2x; full_log_ttft_delta=163.4ms; full_log_e2e_delta=225.8ms; best_verbose_relay=0.812
endpoint_proxy_holdout_n32_audit,Mac endpoint-proxy byte/TTFT frontier,Qwen3-0.6B packet vs text/log relay,holdout seed30 n32 CPU audit prompt,pass,positive_needs_more_evidence,0.84375,0.3125,0.3125,0.53125,0.53125,2,1,,,821.818,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.531; beats best destructive/control by 0.531; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,matched-byte text / query-aware text / structured relay / full log,n=32; prompt_style=audit; packet_minus_target=0.531; packet_strict=0.844; best_source_control=0.312; query_payload_compression=7.0x; full_log_payload_compression=186.8x; full_log_ttft_delta=157.4ms; full_log_e2e_delta=179.6ms; best_verbose_relay=0.875
endpoint_proxy_core_n16_audit_strict_controls,Mac endpoint-proxy byte/TTFT frontier,Qwen3-0.6B packet vs text/log relay,core seed29 n16 CPU audit strict controls,fail,failed_or_pruned,0.75,0.25,0.25,0.5,0.5,2,0.75,,,1067.07,True,,,valid rate below 0.95 (0.750),matched-byte text / query-aware text / structured relay / full log,n=16; prompt_style=audit; packet_minus_target=0.500; packet_strict=0.062; best_source_control=0.250; query_payload_compression=7.0x; full_log_payload_compression=183.2x; full_log_ttft_delta=278.2ms; full_log_e2e_delta=430.1ms; best_verbose_relay=0.812
endpoint_proxy_holdout_n16_audit_strict_controls,Mac endpoint-proxy byte/TTFT frontier,Qwen3-0.6B packet vs text/log relay,holdout seed30 n16 CPU audit strict controls,fail,failed_or_pruned,0.875,0.25,0.1875,0.625,0.6875,2,0.875,,,838.022,True,,,valid rate below 0.95 (0.875),matched-byte text / query-aware text / structured relay / full log,n=16; prompt_style=audit; packet_minus_target=0.625; packet_strict=0.250; best_source_control=0.188; query_payload_compression=7.0x; full_log_payload_compression=186.8x; full_log_ttft_delta=227.1ms; full_log_e2e_delta=182.0ms; best_verbose_relay=0.875
endpoint_proxy_core_n32_audit_strict_controls,Mac endpoint-proxy byte/TTFT frontier,Qwen3-0.6B packet vs text/log relay,core seed29 n32 CPU audit strict controls,fail,failed_or_pruned,0.71875,0.25,0.21875,0.46875,0.5,2,0.75,,,789.128,True,,,valid rate below 0.95 (0.750),matched-byte text / query-aware text / structured relay / full log,n=32; prompt_style=audit; packet_minus_target=0.469; packet_strict=0.156; best_source_control=0.219; query_payload_compression=7.0x; full_log_payload_compression=183.2x; full_log_ttft_delta=159.2ms; full_log_e2e_delta=231.2ms; best_verbose_relay=0.812
endpoint_proxy_holdout_n32_audit_strict_controls,Mac endpoint-proxy byte/TTFT frontier,Qwen3-0.6B packet vs text/log relay,holdout seed30 n32 CPU audit strict controls,fail,failed_or_pruned,0.84375,0.25,0.1875,0.59375,0.65625,2,0.84375,,,735.951,True,,,valid rate below 0.95 (0.844),matched-byte text / query-aware text / structured relay / full log,n=32; prompt_style=audit; packet_minus_target=0.594; packet_strict=0.219; best_source_control=0.188; query_payload_compression=7.0x; full_log_payload_compression=186.8x; full_log_ttft_delta=185.8ms; full_log_e2e_delta=367.2ms; best_verbose_relay=0.875
endpoint_proxy_core_n64_audit_payload_gated_nearmiss,Mac endpoint-proxy byte/TTFT frontier,Qwen3-0.6B packet vs text/log relay,core seed29 n64 CPU audit payload-gated near miss,fail,failed_or_pruned,0.75,0.25,0.203125,0.5,0.546875,2,0.78125,,,905.633,True,,,valid rate below 0.95 (0.781),matched-byte text / query-aware text / structured relay / full log,n=64; prompt_style=audit; packet_minus_target=0.500; packet_strict=0.172; best_source_control=0.203; query_payload_compression=7.0x; full_log_payload_compression=183.2x; full_log_ttft_delta=260.2ms; full_log_e2e_delta=227.4ms; best_verbose_relay=0.891
endpoint_proxy_core_n16_label_strict_controls,Mac endpoint-proxy byte/TTFT frontier,Qwen3-0.6B packet vs text/log relay,core seed29 n16 CPU label-strict controls,pass,positive_needs_more_evidence,0.6875,0.25,0.25,0.4375,0.4375,2,1,,,2130.91,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.438; beats best destructive/control by 0.438; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,matched-byte text / query-aware text / structured relay / full log,n=16; prompt_style=label_strict; packet_minus_target=0.438; packet_strict=0.688; best_source_control=0.250; query_payload_compression=7.0x; full_log_payload_compression=183.2x; full_log_ttft_delta=151.9ms; full_log_e2e_delta=202.5ms; best_verbose_relay=0.688
endpoint_proxy_holdout_n16_label_strict_controls,Mac endpoint-proxy byte/TTFT frontier,Qwen3-0.6B packet vs text/log relay,holdout seed30 n16 CPU label-strict controls,pass,positive_needs_more_evidence,0.625,0.25,0.25,0.375,0.375,2,1,,,2089.39,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.375; beats best destructive/control by 0.375; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,matched-byte text / query-aware text / structured relay / full log,n=16; prompt_style=label_strict; packet_minus_target=0.375; packet_strict=0.562; best_source_control=0.250; query_payload_compression=7.0x; full_log_payload_compression=186.8x; full_log_ttft_delta=190.4ms; full_log_e2e_delta=352.8ms; best_verbose_relay=0.688
endpoint_proxy_core_n32_label_strict_controls,Mac endpoint-proxy byte/TTFT frontier,Qwen3-0.6B packet vs text/log relay,core seed29 n32 CPU label-strict controls,pass,positive_needs_more_evidence,0.6875,0.25,0.25,0.4375,0.4375,2,1,,,2101.81,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.438; beats best destructive/control by 0.438; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,matched-byte text / query-aware text / structured relay / full log,n=32; prompt_style=label_strict; packet_minus_target=0.438; packet_strict=0.656; best_source_control=0.250; query_payload_compression=7.0x; full_log_payload_compression=183.2x; full_log_ttft_delta=164.8ms; full_log_e2e_delta=232.3ms; best_verbose_relay=0.688
endpoint_proxy_holdout_n32_label_strict_controls,Mac endpoint-proxy byte/TTFT frontier,Qwen3-0.6B packet vs text/log relay,holdout seed30 n32 CPU label-strict controls,pass,positive_needs_more_evidence,0.65625,0.25,0.25,0.40625,0.40625,2,1,,,2131.37,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.406; beats best destructive/control by 0.406; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,matched-byte text / query-aware text / structured relay / full log,n=32; prompt_style=label_strict; packet_minus_target=0.406; packet_strict=0.625; best_source_control=0.250; query_payload_compression=7.0x; full_log_payload_compression=186.8x; full_log_ttft_delta=167.1ms; full_log_e2e_delta=335.5ms; best_verbose_relay=0.688
endpoint_proxy_core_n64_label_strict_controls,Mac endpoint-proxy byte/TTFT frontier,Qwen3-0.6B packet vs text/log relay,core seed29 n64 CPU label-strict controls,pass,positive_needs_more_evidence,0.703125,0.25,0.25,0.453125,0.453125,2,1,,,2275.79,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.453; beats best destructive/control by 0.453; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,matched-byte text / query-aware text / structured relay / full log,n=64; prompt_style=label_strict; packet_minus_target=0.453; packet_strict=0.672; best_source_control=0.250; query_payload_compression=7.0x; full_log_payload_compression=183.2x; full_log_ttft_delta=217.2ms; full_log_e2e_delta=294.2ms; best_verbose_relay=0.719
endpoint_proxy_holdout_n64_label_strict_controls,Mac endpoint-proxy byte/TTFT frontier,Qwen3-0.6B packet vs text/log relay,holdout seed30 n64 CPU label-strict controls,pass,positive_needs_more_evidence,0.671875,0.25,0.25,0.421875,0.421875,2,1,,,2071.16,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.422; beats best destructive/control by 0.422; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,matched-byte text / query-aware text / structured relay / full log,n=64; prompt_style=label_strict; packet_minus_target=0.422; packet_strict=0.656; best_source_control=0.250; query_payload_compression=7.0x; full_log_payload_compression=186.8x; full_log_ttft_delta=192.7ms; full_log_e2e_delta=279.0ms; best_verbose_relay=0.719
endpoint_proxy_core_n160_label_strict_controls,Mac endpoint-proxy byte/TTFT frontier,Qwen3-0.6B packet vs text/log relay,core seed29 n160 CPU label-strict controls,pass,positive_needs_more_evidence,0.675,0.25,0.25,0.425,0.425,2,1,,,2126.43,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.425; beats best destructive/control by 0.425; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,matched-byte text / query-aware text / structured relay / full log,n=160; prompt_style=label_strict; packet_minus_target=0.425; packet_strict=0.662; best_source_control=0.250; query_payload_compression=7.0x; full_log_payload_compression=183.2x; full_log_ttft_delta=164.3ms; full_log_e2e_delta=304.8ms; best_verbose_relay=0.713
endpoint_proxy_holdout_n160_label_strict_controls,Mac endpoint-proxy byte/TTFT frontier,Qwen3-0.6B packet vs text/log relay,holdout seed30 n160 CPU label-strict controls,pass,positive_needs_more_evidence,0.6875,0.25,0.25,0.4375,0.4375,2,1,,,2110.92,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.438; beats best destructive/control by 0.438; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,matched-byte text / query-aware text / structured relay / full log,n=160; prompt_style=label_strict; packet_minus_target=0.438; packet_strict=0.675; best_source_control=0.250; query_payload_compression=7.0x; full_log_payload_compression=186.8x; full_log_ttft_delta=183.5ms; full_log_e2e_delta=249.7ms; best_verbose_relay=0.719
endpoint_label_strict_n64_paired_uncertainty,endpoint paired uncertainty,label-strict endpoint paired bootstrap,core+holdout n64 label-strict,pass,paper_ready_evidence,0.6875,0.25,0.25,0.4375,0.4375,2,1,0.296875,0.296875,,True,,beats target by 0.438; beats best destructive/control by 0.438; paired CI lower vs target 0.297; valid rate 1.000,,target / best source-destroying control / query-aware text,"bootstrap=5000; min_strict_vs_target_ci95_low=0.281; full_log_ttft_delta=192.7-217.2ms; query_text_delta_ci_range=[-0.109,0.078] and is a rate-quality comparator at 14 bytes vs 2-byte packet"
endpoint_core_label_strict_n160_paired_uncertainty,endpoint paired uncertainty,label-strict endpoint paired bootstrap,core n160 label-strict,pass,paper_ready_evidence,0.675,0.25,0.25,0.425,0.425,2,1,0.35,0.35,,True,,beats target by 0.425; beats best destructive/control by 0.425; paired CI lower vs target 0.350; valid rate 1.000,,target / best source-destroying control / query-aware text,"bootstrap=5000; min_strict_vs_target_ci95_low=0.338; full_log_ttft_delta=164.3-164.3ms; query_text_delta_ci_range=[-0.069,0.031] and is a rate-quality comparator at 14 bytes vs 2-byte packet"
endpoint_label_strict_n160_paired_uncertainty,endpoint paired uncertainty,label-strict endpoint paired bootstrap,core+holdout n160 label-strict,pass,paper_ready_evidence,0.68125,0.25,0.25,0.43125,0.43125,2,1,0.35,0.35,,True,,beats target by 0.431; beats best destructive/control by 0.431; paired CI lower vs target 0.350; valid rate 1.000,,target / best source-destroying control / query-aware text,"bootstrap=5000; min_strict_vs_target_ci95_low=0.338; full_log_ttft_delta=164.3-183.5ms; query_text_delta_ci_range=[-0.069,0.044] and is a rate-quality comparator at 14 bytes vs 2-byte packet"
